CLC|f|IMM|10FE|2|0|2
CLI|f|IMM|10EF|2|0|2
CLR|t|EXT|79|1|2|3
CLR|t|IDX|69|1|1|2
CLR|t|IDX1|69|1|2|3
CLR|t|IDX2|69|1|3|4
CLR|t|[D,IDX]|69|1|1|2
CLR|t|[IDX2]|69|1|3|4
CLRA|f|INH|87|1|0|1
CLRB|f|INH|C7|1|0|1
CLV|f|IMM|10FD|2|0|2
CMPA|t|IMM|81|1|1|2
CMPA|t|DIR|91|1|1|2
CMPA|t|EXT|B1|1|2|3
CMPA|t|IDX|A1|1|1|2
CMPA|t|IDX1|A1|1|2|3
CMPA|t|IDX2|A1|1|3|4
CMPA|t|[D,IDX]|A1|1|1|2
CMPA|t|[IDX2]|A1|1|3|4
CMPB|t|IMM|C1|1|1|2
CMPB|t|DIR|D1|1|1|2
CMPB|t|EXT|F1|1|2|3
CMPB|t|IDX|E1|1|1|2
CMPB|t|IDX1|E1|1|2|3
CMPB|t|IDX2|E1|1|3|4
CMPB|t|[D,IDX]|E1|1|1|2
CMPB|t|[IDX2]|E1|1|3|4
COM|t|EXT|71|1|2|3
COM|t|IDX|61|1|1|2
COM|t|IDX1|61|1|2|3
COM|t|IDX2|61|1|3|4
COM|t|[D,IDX]|61|1|1|2
COM|t|[IDX2]|61|1|3|4
COMA|f|INH|41|1|0|1
COMB|f|INH|51|1|0|1
CPD|t|IMM|8C|1|2|3
CPD|t|DIR|9C|1|1|2
CPD|t|EXT|BC|1|2|3
CPD|t|IDX|AC|1|1|2
CPD|t|IDX1|AC|1|2|3
CPD|t|IDX2|AC|1|3|4
CPD|t|[D,IDX]|AC|1|1|2
CPD|t|[IDX2]|AC|1|3|4
CPS|t|IMM|8F|1|2|3
CPS|t|DIR|9F|1|1|2
CPS|t|EXT|BF|1|2|3
CPS|t|IDX|AF|1|1|2
CPS|t|IDX1|AF|1|2|3
CPS|t|IDX2|AF|1|3|4
CPS|t|[D,IDX]|AF|1|1|2
CPS|t|[IDX2]|AF|1|3|4
CPX|t|IMM|8E|1|2|3
CPX|t|DIR|9E|1|1|2
CPX|t|EXT|BE|1|2|3
